text,blanks
"After the JoCo Cruise Crazy, RCI instituted a new policy banning ______.",1
"After the JoCo Cruise Crazy, RCI instituted a new policy banning ______.""&fnof;",1
"I knew I was marked for death when I found a towel sculpture shaped like ______.",1
"I knew I was marked for death when I found a towel sculpture shaped like ______.""&fnof;",1
"I like ______ and I cannot lie.",1
"I like ______ and I cannot lie.""&fnof;",1
"I made this half-______, half-______ monster to please you.",2
"I made this half-______, half-______ monster to please you. ""&fnof;",2
"I quit my programming job to become ______.",1
"I quit my programming job to become ______.""&fnof;",1
"In today's morning announcements we learned about ______.",1
"In today's morning announcements we learned about ______.""&fnof;",1
"It's the first of May, first of May. ______ starts today.",1
"It&rsquo;s the first of May, first of May. ______ starts today.""&fnof;",1
"On tonight's episode, Glee will be performing ______ without attribution.",1
"On tonight's episode, Glee will be performing ______ without attribution.""&fnof;",1
"Surprisingly, the most frequently ordered room service item in the ball pit was ______.",1
"Surprisingly, the most frequently ordered room service item in the ball pit was ______.""&fnof;",1
"The Doubleclicks' new album: Lasers and ______.",1
"The Doubleclicks&rsquo; new album: Lasers and ______.""&fnof;",1
"The game room is closed for decontamination because of an incident involving ______ and ______.",2
"The game room is closed for decontamination because of an incident involving ______ and ______.""&fnof;",2
"The most expensive all-inclusive island day tour: ______ Experience.",1
"The most expensive all-inclusive island day tour: ______ Experience.""&fnof;",1
"This year, the Carnival Triumph was stranded at sea thanks to ______.",1
"This year, the Carnival Triumph was stranded at sea thanks to ______.""&fnof;",1
"When Hodgman took over the ship, the first thing he banned was ______.",1
"When Hodgman took over the ship, the first thing he banned was ______.""&fnof;",1
"Would you like to participate in the ______ temperance brigade?",1
"______ beat Paul and Storm in Song Fu.",1
"______ beat Paul and Storm in Song Fu.""&fnof;",1
"______ is my Nemesis.",1
"______ is my Nemesis.""&fnof;",1
"______ is my ______ cover band.",2
"______ is my ______ cover band.""&fnof;",2
